48	2
0	6.0	5.0
1	9.0	8.0
2	8.0	7.0
3	5.0	6.0
4	9.0	9.0
5	2.0	6.0
6	4.0	3.0
7	1.0	1.0
8	8.0	3.0
9	3.0	1.0
10	9.0	7.0
11	3.0	5.0
12	8.0	9.0
13	7.0	2.0
14	8.0	8.0
15	6.0	4.0
16	8.0	3.0
17	9.0	7.0
18	4.0	3.0
19	1.0	4.0
20	1.0	7.0
21	7.0	3.0
22	6.0	4.0
23	1.0	8.0
24	6.0	5.0
25	9.0	8.0
26	8.0	7.0
27	5.0	6.0
28	9.0	9.0
29	2.0	6.0
30	4.0	3.0
31	1.0	1.0
32	8.0	3.0
33	3.0	1.0
34	9.0	7.0
35	3.0	5.0
36	8.0	9.0
37	7.0	2.0
38	8.0	8.0
39	6.0	4.0
40	8.0	3.0
41	9.0	7.0
42	4.0	3.0
43	1.0	4.0
44	1.0	7.0
45	7.0	3.0
46	6.0	4.0
47	1.0	8.0

